what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1437761524546
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.format",1437761528518
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437761546309
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437761547147
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437761548674
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437761552823
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437761554646
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437761560410
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1437761571739
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1437761571912
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1437761599168
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1437761614193
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1437761618509
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1437761619375
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437761622465
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437761640446
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1437761643617
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1437761644060
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1437761644426
